# Seed:  123456789
#
# flag: >0: detected; >2: characterized; 0 mod(2): tracked
# Survey: name of the block
# delta_ra: distance from center of pointing [arcsec]
# delt_dec: distance from center of pointing [arcsec]
#
#   a      e        i        q        r        M      m_rand H_rand color flag delta    m_int    H_int eff   RA(H)     DEC    delta_ra delt_dec Surv. Comments
  44.935  0.174   12.798   37.130   51.952  210.287   24.090   6.90  0.00  2   50.983   24.037   6.85 0.26  8.48553  19.3786  2.48613  0.53623 L7a-sm h         
  45.293  0.116    0.811   40.026   41.868  315.641   23.889   7.59 -0.70  1   40.923   24.418   8.12 0.20 12.94647  -5.7095  2.59006  1.08320 L3h-sm f         
  44.968  0.049    2.587   42.760   42.893  340.782   24.181   7.87  0.00  3   41.904   24.228   7.92 0.57  2.80737  16.6693  2.88027 -0.86566 L4v-sm f         
  45.066  0.071    2.836   41.852   46.739  242.112   23.385   6.63  0.00  4   45.772   23.436   6.68 0.74 15.29739 -17.0268  2.50990  0.71329 L4j-sm f         
  43.792  0.081    5.941   40.245   41.756   51.160   22.817   6.54 -0.70  4   40.795   23.524   7.25 0.84 13.14109  -6.4504  2.69346  1.02892 L3h-sm f         
  40.549  0.093   40.982   36.782   38.900   59.246   23.792   7.83  0.00  3   37.927   24.032   8.07 0.69 14.95258 -19.1338  3.20184  0.55835 L4k-sm h         
  43.704  0.058    1.050   41.191   45.601  136.948   23.344   6.70 -0.80  4   44.622   24.237   7.59 0.85 22.05230 -12.8229  2.50514 -0.94620 presur f         
  45.116  0.052    2.853   42.775   47.373  163.736   23.347   6.53 -0.70  4   46.405   24.083   7.27 0.70 13.19843  -8.5628  2.41759  0.97859 L3h-sm f         
  44.209  0.106    5.043   39.509   41.477  310.545   23.765   7.60  0.00  4   40.491   24.021   7.86 0.68  9.46320  16.0448  2.94558  1.02237 L5c-sm f         
  41.880  0.054   33.227   39.636   39.751  342.385   23.887   7.87  0.00  4   38.778   23.788   7.77 0.49  8.64662  17.7379  3.11736  1.16291 L7a-sm h         
  40.708  0.096   19.034   36.816   39.323   64.000   24.497   8.53  0.00  2   38.345   24.304   8.34 0.21  9.11868  17.7616  3.09047  1.13804 L5c-sm h         
  43.069  0.073    1.524   39.912   42.652  281.794   23.775   7.45  0.00  3   41.660   24.170   7.84 0.64 13.68203  -8.8537  2.74454  1.04747 L4h-sm f         
  46.638  0.086    3.003   42.645   44.015  314.813   23.547   7.07  0.00  4   43.027   23.813   7.34 0.74 13.59194  -8.5270  2.62967  1.03898 L4h-sm f         
  45.829  0.213   16.839   36.068   47.215   86.073   22.079   5.28  0.00  4   46.237   22.096   5.30 0.90 15.04183 -17.5442  2.48279  0.85880 L4k-sm h         
  40.302  0.107   14.424   35.974   38.785   63.701   23.857   7.92  0.00  4   37.800   24.018   8.08 0.67 15.14040 -18.1564  3.06569  0.70582 L4k-sm h         
  43.091  0.025    4.096   42.031   44.135  169.577   24.643   8.15  0.00  2   43.144   24.539   8.05 0.07 15.24032 -20.0650  2.69494  0.79227 L4k-sm f         
  44.375  0.032    6.350   42.937   43.215   35.004   23.991   7.59  0.00  4   42.256   24.223   7.82 0.60  4.61047  22.5368  2.89921 -0.36133 L3w-sm c         
  43.820  0.034    0.799   42.343   45.295  183.620   23.849   7.21 -0.70  1   44.347   24.406   7.77 0.25 12.97290  -5.9628  2.44494  1.00767 L3h-sm c         
  46.378  0.147    2.507   39.551   39.552   -1.613   23.739   7.71 -0.80  3   38.567   24.924   8.90 0.70 21.97115 -13.6435  2.84226 -1.03016 presur f         
  46.494  0.034    3.266   44.904   45.249   37.157   23.711   7.10  0.00  3   44.272   23.593   6.98 0.71 15.00602 -18.7598  2.57610  0.75295 L4k-sm f         
  45.918  0.143    3.639   39.343   39.351  356.933   24.091   8.11  0.00  1   38.359   23.896   7.91 0.39 21.94116 -13.4585  2.88954 -1.08056 L3q-sm f         
  46.743  0.117    4.694   41.270   43.776  308.496   23.861   7.40  0.00  4   42.801   23.686   7.22 0.59 13.34766  -8.1840  2.61386  0.99979 L4h-sm f         
  43.755  0.086    4.155   40.005   42.964  287.021   23.178   6.84  0.00  4   41.983   23.272   6.93 0.79  9.21889  17.5823  2.86741  0.92155 L5c-sm f         
  45.014  0.019    2.119   44.168   44.176  354.108   24.261   7.81  0.00  3   43.191   24.137   7.69 0.43  9.36290  16.2843  2.79641  0.91700 L5c-sm f         
  43.112  0.075    4.092   39.875   44.628  114.096   23.396   6.83 -0.70  4   43.668   24.182   7.62 0.67 13.17247  -5.0801  2.54900  0.97289 L3h-sm f         
  43.506  0.075    0.204   40.239   41.310   44.496   24.405   8.18  0.00  1   40.372   24.499   8.27 0.08  7.43742  22.1543  2.93439  0.43815 L3y-sm f         
  45.355  0.178   11.509   37.286   37.559  347.691   22.905   7.09 -0.70  4   36.599   23.518   7.70 0.83 13.11697  -6.6570  2.85664  1.32125 L3h-sm h         
