# Seed:  123456789
#
# Creation time: 2020-04-24T09:18:37.000  +0200
#
# flag: >0: detected; >2: characterized; 0 mod(2): tracked
# Survey: name of the block
#
#   a      e        i        q        r        M       node     peri  m_rand H_rand color flag delta    m_int    H_int eff   RA(H)     DEC    Surv. Comments
  37.050  0.061    5.803   34.786   35.730  308.404    0.048   56.389  24.05   8.53  0.00  2   34.731   24.067   8.54 0.27 23.93939  -0.5026 L3s-smooth h         
  37.890  0.029    5.087   36.776   37.237  307.082   51.619   44.855  23.84   8.12  0.00  4   36.253   23.840   8.12 0.70  2.57168  14.0978 L4v-smooth h         
  37.184  0.007   19.141   36.938   37.293  243.192  325.398  117.837  23.60   7.83 -0.80  3   36.305   24.305   8.54 0.78 21.88671 -12.7067 presurvey- h         
  44.941  0.168    4.700   37.373   37.548  349.736  231.825   13.842  23.64   7.84  0.00  4   36.580   23.708   7.90 0.65 15.27066 -18.1984 L4j-smooth h         
  40.996  0.110   45.532   36.478   37.189   29.237  146.073  145.508  22.88   7.12 -0.80  4   36.208   23.681   7.92 0.89 22.02192 -13.4662 presurvey- h         
  40.248  0.007   22.977   39.983   40.146  293.749  132.804   69.346  24.33   8.28  0.00  1   39.166   24.459   8.41 0.38  9.17416  17.2970 L5c-smooth h         
  44.055  0.071    5.391   40.923   41.366   28.901  135.745  149.006  23.96   7.77  0.00  4   40.367   24.152   7.96 0.63 21.34639 -15.7311 L4q-smooth c         
  41.850  0.104   15.590   37.485   46.203  183.958  126.457    2.461  24.34   7.66  0.00  2   45.209   24.114   7.43 0.04 20.97401 -18.7775 L4p-smooth h         
  43.518  0.085    4.120   39.806   42.291  293.853  126.793  258.058  24.46   8.15  0.00  2   41.307   24.182   7.87 0.01 20.77026 -18.1741 L4p-smooth f         
  45.710  0.106    0.873   40.856   41.923   34.870  135.164  314.862  23.94   7.69  0.00  3   40.948   24.171   7.92 0.62  8.99451  17.0267 L5c-smooth f         
  43.788  0.041    3.399   41.993   42.679   50.120  145.414  127.275  24.04   7.69 -0.80  3   41.694   25.013   8.66 0.41 21.94055 -12.6214 presurvey- f         
