# Seed:  123456789
#
# flag: >0: detected; >2: characterized; 0 mod(2): tracked
# Survey: name of the block
# delta_ra: distance from center of pointing [arcsec]
# delt_dec: distance from center of pointing [arcsec]
#
#   a      e        i        q        r        M      m_rand H_rand color flag delta    m_int    H_int eff   RA(H)     DEC    delta_ra delt_dec Surv. Comments
  40.549  0.093   40.982   36.782   38.900   59.246   23.817   7.85  0.00  4   37.927   24.032   8.07 0.68 14.95259 -19.1338  3.20207  0.55871 L4k-sm h         
  43.704  0.058    1.050   41.191   45.601  136.950   23.321   6.67 -0.80  4   44.622   24.237   7.59 0.85 22.05239 -12.8224  2.50542 -0.94632 presur f         
  43.400  0.039    4.386   41.690   41.731  347.677   23.613   7.39  0.00  4   40.757   23.977   7.75 0.66  8.62901  17.7762  2.96640  0.81225 L7a-sm f         
  41.880  0.054   33.227   39.636   39.751  342.383   24.052   8.03  0.00  2   38.778   23.788   7.77 0.30  8.64644  17.7371  3.11780  1.16272 L7a-sm h         
  40.708  0.096   19.034   36.816   39.323   63.999   24.727   8.76  0.00  2   38.345   24.304   8.34 0.05  9.11863  17.7615  3.09089  1.13801 L5c-sm h         
  43.926  0.068   15.634   40.944   43.725  277.696   23.571   7.18  0.00  4   42.736   24.473   8.08 0.77  2.81752  15.8018  2.81140 -1.01192 L4v-sm h         
  43.069  0.073    1.524   39.912   42.652  281.794   23.841   7.51  0.00  4   41.660   24.170   7.84 0.60 13.68204  -8.8537  2.74488  1.04760 L4h-sm f         
  43.391  0.077    0.964   40.041   43.123  279.013   24.049   7.62  0.00  3   42.204   24.029   7.60 0.57  4.02040  21.6391  2.71613 -0.56957 L3w-sm f         
  43.882  0.063    5.214   41.122   41.611  327.309   24.567   8.32 -0.80  1   40.631   24.869   8.62 0.02 22.02381 -12.7362  2.69768 -1.05939 presur c         
  45.829  0.213   16.839   36.068   47.215   86.073   22.123   5.33  0.00  4   46.237   22.096   5.30 0.90 15.04183 -17.5442  2.48309  0.85880 L4k-sm h         
  40.302  0.107   14.424   35.974   38.785   63.701   24.132   8.19  0.00  4   37.800   24.018   8.08 0.57 15.14040 -18.1564  3.06606  0.70603 L4k-sm h         
  44.375  0.032    6.350   42.937   43.215   35.005   24.131   7.73  0.00  4   42.256   24.223   7.82 0.51  4.61049  22.5369  2.89956 -0.36141 L3w-sm c         
  43.432  0.039    3.125   41.746   43.597   93.302   23.675   7.27  0.00  4   42.614   23.660   7.26 0.70  9.24203  16.3243  2.83509  0.91484 L5c-sm f         
  46.879  0.127    1.580   40.944   41.822  332.184   24.408   8.14 -0.80  1   40.839   24.968   8.70 0.06 22.00899 -13.8949  2.69129 -1.01705 presur f         
  46.378  0.147    2.507   39.551   39.552   -1.611   23.890   7.87 -0.80  3   38.567   24.924   8.90 0.58 21.97127 -13.6428  2.84263 -1.03033 presur f         
  46.494  0.034    3.266   44.904   45.249   37.157   23.691   7.08  0.00  4   44.272   23.593   6.98 0.72 15.00602 -18.7598  2.57642  0.75306 L4k-sm f         
  45.918  0.143    3.639   39.343   39.351  356.934   23.864   7.88  0.00  3   38.359   23.896   7.91 0.58 21.94121 -13.4582  2.88997 -1.08070 L3q-sm f         
  46.743  0.117    4.694   41.270   43.776  308.496   23.593   7.13  0.00  4   42.801   23.686   7.22 0.72 13.34767  -8.1840  2.61418  0.99995 L4h-sm f         
  43.755  0.086    4.155   40.005   42.964  287.020   23.313   6.97  0.00  4   41.983   23.272   6.93 0.77  9.21885  17.5824  2.86776  0.92162 L5c-sm f         
  45.014  0.019    2.119   44.168   44.176  354.107   24.041   7.59  0.00  4   43.191   24.137   7.69 0.58  9.36286  16.2844  2.79674  0.91709 L5c-sm f         
  46.817  0.166    1.324   39.050   39.951  336.585   23.861   7.78  0.00  4   39.010   24.091   8.01 0.66  4.32595  21.8707  2.99169 -0.50693 L3w-sm f         
  43.112  0.075    4.092   39.875   44.628  114.097   22.934   6.37 -0.70  4   43.668   24.182   7.62 0.82 13.17252  -5.0805  2.54932  0.97304 L3h-sm f         
  45.355  0.178   11.509   37.286   37.559  347.691   22.616   6.80 -0.70  4   36.599   23.518   7.70 0.86 13.11705  -6.6573  2.85714  1.32134 L3h-sm h         
  46.112  0.127    1.266   40.279   49.971  126.007   23.874   6.85  0.00  4   49.003   23.791   6.77 0.50  8.80525  19.1569  2.50985  0.70589 L7a-sm h         
  46.339  0.165   19.843   38.688   39.283  340.860   24.304   8.33  0.00  1   38.292   24.138   8.16 0.02 22.62419   2.9321  2.88960 -1.38579 L5r-sm h         
  44.099  0.067    3.949   41.126   44.521   94.315   23.759   7.26  0.00  4   43.544   23.869   7.37 0.69  5.06531  23.0903  2.90108 -0.31786 L3w-sm c         
  43.920  0.069    2.915   40.889   40.991  345.920   23.041   6.85 -0.80  4   40.015   24.108   7.92 0.88 22.09963 -13.1834  2.71526 -1.06702 presur c         
  44.566  0.110    1.292   39.686   42.146   54.860   23.669   7.37 -0.80  3   41.165   24.543   8.24 0.74 22.01928 -13.5093  2.68410 -1.01188 presur f         
  45.962  0.145    2.252   39.274   41.345   40.282   24.493   8.31  0.00  2   40.366   24.129   7.95 0.21  9.17036  17.9492  2.95570  0.91406 L5c-sm f         
  44.013  0.131   13.327   38.252   42.413  293.305   24.267   7.96  0.00  2   41.413   24.818   8.51 0.17 19.05991 -23.5528  2.88244 -0.45437 L4m-sm h         
  43.467  0.095    9.582   39.325   39.500   15.253   24.354   8.35  0.00  2   38.533   24.091   8.09 0.03  8.79103  17.8709  3.05927  0.95217 L7a-sm h         
  43.977  0.043    2.621   42.086   44.214  265.156   24.089   7.58 -0.80  1   43.232   24.819   8.31 0.35 21.99248 -13.1957  2.58055 -0.98238 presur c         
  43.002  0.026    1.769   41.896   42.436   57.801   23.731   7.41  0.00  4   41.452   24.191   7.87 0.66 13.51248  -8.2221  2.71746  1.07062 L4h-sm f         
  42.427  0.048    3.224   40.407   41.741  292.517   24.436   8.24  0.00  2   40.755   24.323   8.13 0.27  9.40352  15.5198  2.94565  0.99093 L5c-sm f         
  45.844  0.094    2.202   41.549   43.354  309.760   24.589   8.19  0.00  2   42.378   24.410   8.01 0.17  2.32425  15.2131  2.75406 -0.98412 L4v-sm f         
  44.358  0.048    2.244   42.228   46.486  177.630   22.840   6.10 -0.70  4   45.525   23.618   6.88 0.84 13.08425  -8.3513  2.41527  1.03731 L3h-sm f         
